,classes,accuracy,average_iou,correct_prediction,total_label
0,1,0.76,0.83,192.0,252.0
1,2,0.5,0.91,1.0,2.0
2,3,0.58,0.78,15.0,26.0
3,4,0.75,0.97,3.0,4.0
4,5,0.67,0.93,2.0,3.0
5,6,1.0,0.94,4.0,4.0
6,7,1.0,0.9,3.0,3.0
7,8,0.83,0.93,5.0,6.0
8,9,0.6,0.9,6.0,10.0
9,10,1.0,0.88,2.0,2.0
10,11,0.5,0.97,1.0,2.0
11,12,0.0,0.0,0.0,0.0
12,13,1.0,0.96,3.0,3.0
13,14,0.5,0.84,3.0,6.0
14,15,0.94,0.88,17.0,18.0
15,16,1.0,0.95,2.0,2.0
16,17,1.0,0.93,3.0,3.0
17,18,1.0,0.99,1.0,1.0
18,19,1.0,0.96,1.0,1.0
19,20,0.91,0.92,10.0,11.0
20,21,1.25,0.82,10.0,8.0
21,22,1.0,0.98,1.0,1.0
22,23,1.67,0.8,5.0,3.0
23,24,1.0,0.96,6.0,6.0
24,25,0.5,0.6,1.0,2.0
25,26,1.0,0.84,18.0,18.0
26,27,0.44,0.84,4.0,9.0
27,28,0.79,0.92,15.0,19.0
28,29,1.25,0.8,5.0,4.0
29,30,1.0,0.94,2.0,2.0
30,31,0.5,0.89,2.0,4.0
31,32,1.5,0.75,3.0,2.0
32,33,1.0,0.93,5.0,5.0
33,34,1.0,0.91,1.0,1.0
34,35,1.5,0.79,3.0,2.0
35,36,1.0,0.88,2.0,2.0
36,37,1.0,0.93,2.0,2.0
37,38,0.0,0.0,0.0,0.0
38,39,0.83,0.88,5.0,6.0
39,40,1.27,0.78,14.0,11.0
40,41,0.12,0.67,1.0,8.0
41,42,0.71,0.91,12.0,17.0
42,43,1.0,0.89,3.0,3.0
43,44,0.8,0.85,4.0,5.0
44,45,1.25,0.75,5.0,4.0
45,46,0.46,0.95,6.0,13.0
46,47,0.67,0.93,10.0,15.0
47,48,0.0,0.0,0.0,0.0
48,49,1.0,0.88,8.0,8.0
49,50,0.33,0.88,1.0,3.0
50,51,0.0,0.0,0.0,0.0
51,52,0.43,0.81,6.0,14.0
52,53,0.0,0.0,0.0,0.0
53,54,1.25,0.82,5.0,4.0
54,55,1.0,0.93,11.0,11.0
55,56,1.0,0.96,2.0,2.0
56,57,0.87,0.82,20.0,23.0
57,58,1.0,0.85,2.0,2.0
58,59,1.0,0.91,1.0,1.0
59,60,1.0,0.98,1.0,1.0
60,61,1.11,0.86,10.0,9.0
61,62,1.0,0.92,3.0,3.0
62,63,1.0,0.88,1.0,1.0
63,64,1.0,0.82,3.0,3.0
64,65,0.0,0.0,0.0,1.0
65,66,0.33,0.83,1.0,3.0
66,67,0.0,0.0,0.0,0.0
67,68,1.0,0.89,2.0,2.0
68,69,1.0,0.94,2.0,2.0
69,70,1.0,0.91,2.0,2.0
70,71,0.0,0.0,0.0,0.0
71,72,0.75,0.63,3.0,4.0
72,73,0.0,0.0,0.0,0.0
73,74,0.87,0.56,27.0,31.0
74,75,1.0,0.84,7.0,7.0
75,76,0.0,0.0,0.0,0.0
76,77,0.93,0.53,14.0,15.0
77,78,1.0,0.99,1.0,1.0
78,79,0.0,0.0,0.0,0.0
79,80,0.5,0.97,1.0,2.0
